Id,zip,Geography,Estimate; Total,Margin of Error; Total,sameDay,oneHour,twoHour
8600000US72449,72449,ZCTA5 72449,217,71,false,false,false
8600000US72450,72450,ZCTA5 72450,36018,581,false,false,false
8600000US72453,72453,ZCTA5 72453,122,46,false,false,false
8600000US72454,72454,ZCTA5 72454,5242,295,false,false,false
8600000US72455,72455,ZCTA5 72455,12920,541,false,false,false
8600000US72456,72456,ZCTA5 72456,626,159,false,false,false
8600000US72457,72457,ZCTA5 72457,135,40,false,false,false
8600000US72458,72458,ZCTA5 72458,745,177,false,false,false
8600000US72459,72459,ZCTA5 72459,1527,340,false,false,false
8600000US72460,72460,ZCTA5 72460,573,227,false,false,false
8600000US72461,72461,ZCTA5 72461,3566,319,false,false,false
8600000US72462,72462,ZCTA5 72462,340,102,false,false,false
8600000US72464,72464,ZCTA5 72464,64,41,false,false,false
8600000US72466,72466,ZCTA5 72466,1677,430,false,false,false
8600000US72467,72467,ZCTA5 72467,217,81,false,false,false
8600000US72469,72469,ZCTA5 72469,1197,275,false,false,false
8600000US72470,72470,ZCTA5 72470,150,55,false,false,false
8600000US72471,72471,ZCTA5 72471,1049,240,false,false,false
8600000US72472,72472,ZCTA5 72472,9476,299,false,false,false
8600000US72473,72473,ZCTA5 72473,2604,352,false,false,false
8600000US72476,72476,ZCTA5 72476,6901,262,false,false,false
8600000US72478,72478,ZCTA5 72478,417,254,false,false,false
8600000US72479,72479,ZCTA5 72479,1788,229,false,false,false
8600000US72482,72482,ZCTA5 72482,1121,277,false,false,false
8600000US72501,72501,ZCTA5 72501,24776,698,false,false,false
8600000US72512,72512,ZCTA5 72512,2299,269,false,false,false
8600000US72513,72513,ZCTA5 72513,2879,504,false,false,false
8600000US72515,72515,ZCTA5 72515,18,31,false,false,false
8600000US72517,72517,ZCTA5 72517,615,303,false,false,false
8600000US72519,72519,ZCTA5 72519,3038,389,false,false,false
8600000US72520,72520,ZCTA5 72520,518,419,false,false,false
8600000US72521,72521,ZCTA5 72521,4806,572,false,false,false
8600000US72522,72522,ZCTA5 72522,545,215,false,false,false
8600000US72523,72523,ZCTA5 72523,1083,278,false,false,false
8600000US72524,72524,ZCTA5 72524,267,180,false,false,false
8600000US72526,72526,ZCTA5 72526,157,92,false,false,false
8600000US72527,72527,ZCTA5 72527,558,224,false,false,false
8600000US72528,72528,ZCTA5 72528,99,77,false,false,false
8600000US72529,72529,ZCTA5 72529,4552,198,false,false,false
8600000US72530,72530,ZCTA5 72530,1886,346,false,false,false
