name,url
Sacramento State Hornets,/cbb/schools/sacramento-state/
Sacred Heart Pioneers,/cbb/schools/sacred-heart/
Saint Francis (PA) Red Flash,/cbb/schools/saint-francis-pa/
Saint Joseph's Hawks,/cbb/schools/saint-josephs/
Saint Louis Billikens,/cbb/schools/saint-louis/
Saint Mary's (CA) Gaels,/cbb/schools/saint-marys-ca/
Saint Peter's Peacocks,/cbb/schools/saint-peters/
Sam Houston State Bearkats,/cbb/schools/sam-houston-state/
Samford Bulldogs,/cbb/schools/samford/
San Diego State Aztecs,/cbb/schools/san-diego-state/
San Diego Toreros,/cbb/schools/san-diego/
San Francisco Dons,/cbb/schools/san-francisco/
San Jose State Spartans,/cbb/schools/san-jose-state/
Santa Clara Broncos,/cbb/schools/santa-clara/
Savage School of Physical Education ,/cbb/schools/savage-school-of-physical-education/
Savannah State Tigers,/cbb/schools/savannah-state/
Scranton Royals,/cbb/schools/scranton/
Seattle Redhawks,/cbb/schools/seattle/
Seton Hall Pirates,/cbb/schools/seton-hall/
Sewanee Tigers,/cbb/schools/sewanee/
Siena Saints,/cbb/schools/siena/
South Alabama Jaguars,/cbb/schools/south-alabama/
South Carolina Gamecocks,/cbb/schools/south-carolina/
South Carolina State Bulldogs,/cbb/schools/south-carolina-state/
South Carolina Upstate Spartans,/cbb/schools/south-carolina-upstate/
South Dakota Coyotes,/cbb/schools/south-dakota/
South Dakota State Jackrabbits,/cbb/schools/south-dakota-state/
South Florida Bulls,/cbb/schools/south-florida/
Southeast Missouri State Redhawks,/cbb/schools/southeast-missouri-state/
Southeastern Louisiana Lions,/cbb/schools/southeastern-louisiana/
Southern California Trojans,/cbb/schools/southern-california/
Southern Illinois Salukis,/cbb/schools/southern-illinois/
Southern Illinois-Edwardsville Cougars,/cbb/schools/southern-illinois-edwardsville/
Southern Jaguars,/cbb/schools/southern/
Southern Methodist Mustangs,/cbb/schools/southern-methodist/
Southern Mississippi Golden Eagles,/cbb/schools/southern-mississippi/
Southern Utah Thunderbirds,/cbb/schools/southern-utah/
Southwestern (KS) Moundbuilders,/cbb/schools/southwestern-ks/
Southwestern (TX) Pirates,/cbb/schools/southwestern-tx/
Springfield Pride,/cbb/schools/springfield/
St. Bonaventure Bonnies,/cbb/schools/st-bonaventure/
St. Francis (NY) Terriers,/cbb/schools/st-francis-ny/
St. John's (NY) Red Storm,/cbb/schools/st-johns-ny/
St. John's College (OH) ,/cbb/schools/st-johns-college-oh/
St. Lawrence Saints,/cbb/schools/st-lawrence/
Stanford Cardinal,/cbb/schools/stanford/
Stephen F. Austin Lumberjacks,/cbb/schools/stephen-f-austin/
Stetson Hatters,/cbb/schools/stetson/
Stevens Institute Ducks,/cbb/schools/stevens-institute/
Stony Brook Seawolves,/cbb/schools/stony-brook/
SUNY-Potsdam Bears,/cbb/schools/suny-potsdam/
Swarthmore Garnet,/cbb/schools/swarthmore/
Syracuse Orange,/cbb/schools/syracuse/
Temple Owls,/cbb/schools/temple/
Tennessee State Tigers,/cbb/schools/tennessee-state/
Tennessee Tech Golden Eagles,/cbb/schools/tennessee-tech/
Tennessee Volunteers,/cbb/schools/tennessee/
Tennessee-Martin Skyhawks,/cbb/schools/tennessee-martin/
Texas A&M Aggies,/cbb/schools/texas-am/
Texas A&M-Corpus Christi Islanders,/cbb/schools/texas-am-corpus-christi/
Texas Christian Horned Frogs,/cbb/schools/texas-christian/
Texas Longhorns,/cbb/schools/texas/
Texas Southern Tigers,/cbb/schools/texas-southern/
Texas State Bobcats,/cbb/schools/texas-state/
Texas Tech Red Raiders,/cbb/schools/texas-tech/
Texas Wesleyan Rams,/cbb/schools/texas-wesleyan/
Texas-Arlington Mavericks,/cbb/schools/texas-arlington/
Texas-El Paso Miners,/cbb/schools/texas-el-paso/
Texas-Pan American Broncs,/cbb/schools/texas-pan-american/
Texas-San Antonio Roadrunners,/cbb/schools/texas-san-antonio/
Toledo Rockets,/cbb/schools/toledo/
Towson Tigers,/cbb/schools/towson/
Trinity (CT) Bantams,/cbb/schools/trinity-ct/
Trinity (TX) Tigers,/cbb/schools/trinity-tx/
Troy Trojans,/cbb/schools/troy/
Tulane Green Wave,/cbb/schools/tulane/
Tulsa Golden Hurricane,/cbb/schools/tulsa/
UCLA Bruins,/cbb/schools/ucla/
Union (NY) Dutchmen,/cbb/schools/union-ny/
Utah State Aggies,/cbb/schools/utah-state/
Utah Utes,/cbb/schools/utah/
Utah Valley Wolverines,/cbb/schools/utah-valley/
Utica Pioneers,/cbb/schools/utica/
Valparaiso Crusaders,/cbb/schools/valparaiso/
Vanderbilt Commodores,/cbb/schools/vanderbilt/
Vermont Catamounts,/cbb/schools/vermont/
Villanova Wildcats,/cbb/schools/villanova/
Virginia Cavaliers,/cbb/schools/virginia/
Virginia Commonwealth Rams,/cbb/schools/virginia-commonwealth/
Virginia Military Institute Keydets,/cbb/schools/virginia-military-institute/
Virginia Tech Hokies,/cbb/schools/virginia-tech/
Wabash Little Giants,/cbb/schools/wabash/
Wagner Seahawks,/cbb/schools/wagner/
Wake Forest Demon Deacons,/cbb/schools/wake-forest/
Washburn Ichabods,/cbb/schools/washburn/
Washington & Jefferson Presidents,/cbb/schools/washington-jefferson/
Washington & Lee Generals,/cbb/schools/washington-lee/
Washington (MO) Bears,/cbb/schools/washington-mo/
Washington College Shoremen,/cbb/schools/washington-college/
Washington Huskies,/cbb/schools/washington/
Washington State Cougars,/cbb/schools/washington-state/
Wayne State (MI) Warriors,/cbb/schools/wayne-state-mi/
Weber State Wildcats,/cbb/schools/weber-state/
Wesleyan (CT) Cardinals,/cbb/schools/wesleyan-ct/
West Chester Golden Rams,/cbb/schools/west-chester/
West Texas A&M Buffaloes,/cbb/schools/west-texas-am/
West Virginia Mountaineers,/cbb/schools/west-virginia/
Western Carolina Catamounts,/cbb/schools/western-carolina/
Western Illinois Leathernecks,/cbb/schools/western-illinois/
Western Kentucky Hilltoppers,/cbb/schools/western-kentucky/
Western Michigan Broncos,/cbb/schools/western-michigan/
Western State Mountaineers,/cbb/schools/western-state/
Westminster (MO) Blue Jays,/cbb/schools/westminster-mo/
Westminster (PA) Titans,/cbb/schools/westminster-pa/
Wheaton (IL) Thunder,/cbb/schools/wheaton-il/
Whittier Poets,/cbb/schools/whittier/
Wichita State Shockers,/cbb/schools/wichita-state/
Widener Pride,/cbb/schools/widener/
William & Mary Tribe,/cbb/schools/william-mary/
Williams Ephs,/cbb/schools/williams/
Winthrop Eagles,/cbb/schools/winthrop/
Wisconsin Badgers,/cbb/schools/wisconsin/
Wisconsin-Stevens Point Pointers,/cbb/schools/wisconsin-stevens-point/
Wisconsin-Superior Yellowjackets,/cbb/schools/wisconsin-superior/
Wittenberg Tigers,/cbb/schools/wittenberg/
Wofford Terriers,/cbb/schools/wofford/
Wooster Fighting Scots,/cbb/schools/wooster/
Worcester Tech Engineers,/cbb/schools/worcester-tech/
Wright State Raiders,/cbb/schools/wright-state/
Wyoming Cowboys,/cbb/schools/wyoming/
Xavier Musketeers,/cbb/schools/xavier/
Yale Elis,/cbb/schools/yale/
Youngstown State Penguins,/cbb/schools/youngstown-state/
