ID,Posted at,Screen name,Text
784099331490054144,2016-10-06 18:33:43 +0000,nytgraphics,"In Florida, Kentucky, Tennessee, Virginia, more than 1 in 5 blacks cannot vote becuase of a felony conviction.… https://t.co/0oW3Le3AWd"
784095359949737984,2016-10-06 18:17:56 +0000,nytgraphics,Where pro-Assad forces are pushing in the ground battle for eastern Aleppo: https://t.co/5RKjRV2H9G https://t.co/7P66aRaWSr
784058788533993473,2016-10-06 15:52:36 +0000,nytgraphics,Pence says a temporary ban on Muslim immigration is no longer Trump's position. Here’s how Trump’s plan has evolved… https://t.co/SnwDCLOKjA
784047266260721664,2016-10-06 15:06:49 +0000,nytgraphics,"In Florida, Kentucky, Tennessee and Virginia, over 20% of blacks can't vote because of felony convictions:… https://t.co/Ct1S1gZjHH"
784039761098907648,2016-10-06 14:37:00 +0000,nytgraphics,How Trump's hyped up ventures turned out: https://t.co/8MMG6mTfKe https://t.co/7kg0J5b1ro
784033271038566404,2016-10-06 14:11:13 +0000,nytgraphics,1.5 million Florida residents have been urged to evacuate as Hurricane Matthew approaches: https://t.co/8EgbDQ17WR https://t.co/ilW5o488PH
783698011797020672,2016-10-05 15:59:01 +0000,nytgraphics,"After two days of protests, Los Angeles PD released video footage leading up to the fatal shooting of Carnell Snell… https://t.co/Q2RLCuA9KX"
783477302835417088,2016-10-05 01:21:59 +0000,nytgraphics,"The 258 people, places and things Donald Trump has insulted on Twitter: A complete list
https://t.co/ufqTDoBc6a"
783429361764540416,2016-10-04 22:11:29 +0000,nytgraphics,Dash cam audio suggests Sacramento police officers tried to hit Joseph Mann with their patrol car as he fled on foo… https://t.co/RDGvL3xweS
783306895822061569,2016-10-04 14:04:51 +0000,nytgraphics,"We're tracking Hurricane Matthew as it makes landfall in Haiti, delivering winds of up to 145 miles an hour:… https://t.co/5rdXMS4l3g"
783049959629328384,2016-10-03 21:03:53 +0000,nytgraphics,"Which Trump/Clinton presidential debate clips were replayed most on CNN, Fox News and MSNBC https://t.co/rAY5RU55He https://t.co/HIseVEjnDC"
782998639937552384,2016-10-03 17:39:57 +0000,nytgraphics,What states does Clinton need to win the election? Choose a winner state by state to find her paths to victory:… https://t.co/aPW59B9PkQ
782994305296265216,2016-10-03 17:22:44 +0000,nytgraphics,"RT @nytimes: Hurricane Matthew is heading for Haiti, and is expected to hit by Monday night https://t.co/6OVKfh3Cgu https://t.co/Bam3htGqII"
