gameIndex,Date,Red,Blue,Win,RRoster,BRoster
9995,2016-12-04,Team Japan,Team Latin America South,blue,Evi • Tussle • Ceros • Haretti • Dara,Helior • ClatoS • Plugo • Warangelus • Bear
9994,2016-12-01,Team Southeast Asia,Team Latin America South,blue,QTV • Levi • Optimus • Celebrity • RonOP,Helior • ClatoS • Plugo • Warangelus • Bear
9993,2016-12-01,Team Oceania,Team Japan,blue,Swip3rR • Carbon • Swiffer • Raydere • Rosey,Evi • Tussle • Ceros • Haretti • Dara
9992,2016-12-01,Team Turkey,Team Latin America North,red,Elwind • Crystal • Naru • Zeitnot • Dumbledoge,Porky • Oddie • Seiya • EvanRL • NerzhuL
9991,2016-12-01,Team CIS,Team Brazil,red,Smurf • Zanzarah • Kira • LeX • Edward,Yang • Revolta • Kami • pbO • Dioud
9997,2013-12-21,Cloud9,Fnatic,red,Balls • Meteos • Hai • Sneaky • LemonNation,sOAZ • Cyanide • xPeke • Rekkles • YellOwStaR
9996,2013-12-21,Fnatic,Cloud9,blue,sOAZ • Cyanide • xPeke • Rekkles • YellOwStaR,Balls • Meteos • Hai • Sneaky • LemonNation
9995,2013-12-20,Counter Logic Gaming,Team ALTERNATE,blue,Nien • dexter1 • Link • Doublelift • Aphromoo,kev1n • Araneae • Kerp • Creaton • Jree
9994,2013-12-20,XDG Gaming,Gambit Gaming,blue,Benny • Xmithie • mancloud • Zuna • BloodWater,Darien • Diamondprox • Alex Ich • Genja • EDward
9993,2013-12-20,Counter Logic Gaming,Team ALTERNATE,blue,Nien • dexter1 • Link • Doublelift • Aphromoo,kev1n • Araneae • Kerp • Creaton • Jree
9992,2013-12-20,Gambit Gaming,XDG Gaming,red,Darien • Diamondprox • Alex Ich • Genja • EDward,Benny • Xmithie • mancloud • Zuna • BloodWater
9991,2013-12-14,Lemondogs,Team SoloMid,blue,Myw • ImSoFresh • Shlaya • Crazycaps • Zeriouz,Dyrus • TheOddOne • Bjergsen • WildTurtle • Xpecial
9990,2013-12-14,Alliance,Team Dignitas,red,Wickd • Shook • Froggen • Tabzz • Kazmitch,Cruzerthebruzer • Crumbzz • scarra • Imaqtpie • KiWiKiD
9989,2013-12-14,Team Dignitas,Alliance,blue,Cruzerthebruzer • Crumbzz • scarra • Imaqtpie • KiWiKiD,Wickd • Shook • Froggen • Tabzz • Kazmitch
9988,2013-12-14,Team SoloMid,Lemondogs,red,Dyrus • TheOddOne • Bjergsen • WildTurtle • Xpecial,Myw • ImSoFresh • Shlaya • Crazycaps • Zeriouz
9997,2015-12-17,PQSim e-Sports,RUDE GAME,blue,Goro • Kigami Stormrage • AlexKiD • Mizuki • Catatau,w0lv • bielz • Fire • EzPrince • WoodBoy
9996,2015-12-16,INTZ Red,Estúdio XP e-Sports,red,Jockster • Caos • Brucer • SacyR • Eryon,Huanka • Freire • Evrot • DudsTheBoy • Codpiece
9995,2015-12-16,RUDE GAME,PQSim e-Sports,red,w0lv • bielz • Fire • EzPrince • WoodBoy,Goro • Kigami Stormrage • AlexKiD • Mizuki • Catatau
9994,2015-12-16,Estúdio XP e-Sports,INTZ Red,blue,Huanka • Freire • Evrot • DudsTheBoy • Codpiece,Jockster • Caos • Brucer • SacyR • Eryon
9993,2015-12-16,PQSim e-Sports,INTZ Red,red,Goro • Kigami Stormrage • AlexKiD • Mizuki • Catatau,Jockster • Caos • Brucer • SacyR • Eryon
9992,2015-12-16,RUDE GAME,Estúdio XP e-Sports,red,w0lv • bielz • Fire • EzPrince • WoodBoy,Huanka • Freire • Evrot • DudsTheBoy • Codpiece
9991,2015-12-02,Desempregados,PQSim e-Sports,blue,w0lv • bielz • Fire • EzPrince • huez0rd,Goro • Kigami Stormrage • AlexKiD • Mizuki • Sheldon
9990,2015-12-02,OS KTCHOROS,Desempregados,blue,Shy Guy • Fafnyr • TuixZoR • Vínizera • WoodBoy,w0lv • bielz • Fire • EzPrince • huez0rd
9989,2015-12-02,Santos Dexterity,PQSim e-Sports,blue,Xem • Oxydrean • prZo • Codpiece • Anjinho,Goro • Kigami Stormrage • AlexKiD • Mizuki • Sheldon
9988,2015-11-25,RetroPunk e-Sports,INTZ Red,blue,Dragonis • Bgob • Deoxys • mascot • Nemo,Jockster • Caos • Brucer • SacyR • Eryon
9987,2015-11-23,PQSim e-Sports,INTZ Red,blue,Goro • Knoxi • AlexKiD • Mizuki • Catatau,Jockster • Caos • Brucer • SacyR • Eryon
9986,2015-11-18,Desempregados,OS KTCHOROS,blue,w0lv • bielz • Fire • EzPrince • verfix,BroTher • Draek • TuixZoR • Vínizera • WoodBoy
9985,2015-11-18,Santos Dexterity,RetroPunk e-Sports,blue,Pizzayolo • Foxziim • prZo • FixYou • Codpiece,Dragonis • Bgob • Deoxys • mascot • Nemo
9984,2015-11-11,OS KTCHOROS,INTZ Red,blue,BroTher • Oxydrean • TuixZoR • Vínizera • WoodBoy,Jockster • Caos • Brucer • SacyR • Eryon
9983,2015-11-11,Santos Dexterity,Estúdio XP e-Sports,blue,Pizzayolo • Zuao • prZo • Theusma • Professor,w0lv • bielz • Fire • EzPrince • verfix
9982,2015-11-04,PQSim e-Sports,OS KTCHOROS,red,Goro • Knoxi • AlexKiD • Mizuki • Catatau,BroTher • Oxydrean • TuixZoR • Vínizera • WoodBoy
9981,2015-11-04,Estúdio XP e-Sports,PQSim e-Sports,blue,w0lv • bielz • Fire • EzPrince • verfix,Goro • Knoxi • AlexKiD • Mizuki • Catatau
9980,2015-11-04,Estúdio XP e-Sports,AceZone e-Sports,blue,w0lv • bielz • Fire • EzPrince • verfix,Dragonis • Bgob • Deoxys • mascot • Nemo
9979,2015-10-28,Estúdio XP e-Sports,INTZ Red,blue,w0lv • bielz • Fire • EzPrince • verfix,Robo • Caos • Brucer • SacyR • Eryon
9978,2015-10-28,AceZone e-Sports,PQSim e-Sports,red,Xem • Bgob • Deoxys • mascot • Nemo,Goro • Knoxi • AlexKiD • Mizuki • Catatau
9977,2015-10-28,AceZone e-Sports,OS KTCHOROS,red,Xem • Bgob • Deoxys • mascot • Nemo,BroTher • Oxydrean • TuixZoR • Vínizera • WoodBoy
9976,2015-10-21,Santos Dexterity,PQSim e-Sports,blue,Pizzayolo • Zuao • prZo • Theusma • Anjinho,Goro • Knoxi • AlexKiD • Mizuki • Catatau
9975,2015-10-21,Santos Dexterity,INTZ Red,blue,Pizzayolo • Zuao • prZo • Theusma • Anjinho,Robo • Caos • Brucer • SacyR • Eryon
9997,2014-07-26,CNB e-Sports Club,KaBuM! e-Sports,blue,Leko • Revolta • takeshi • manajj • Alocs,LEP • Danagorn • TinOwns • Minerva • dans
9996,2014-07-26,KaBuM! e-Sports,CNB e-Sports Club,red,LEP • Danagorn • TinOwns • Minerva • dans,Leko • Revolta • takeshi • manajj • Alocs
9995,2014-07-26,CNB e-Sports Club,KaBuM! e-Sports,blue,Leko • Revolta • takeshi • manajj • Alocs,LEP • Danagorn • TinOwns • Minerva • dans
9994,2014-07-26,KaBuM! e-Sports,CNB e-Sports Club,blue,LEP • Danagorn • TinOwns • Minerva • dans,Leko • Revolta • takeshi • manajj • Alocs
9993,2014-07-20,Keyd Stars,KaBuM! e-Sports,blue,Mylon • Winged • SuNo • brTT • Loop,LEP • Danagorn • TinOwns • Minerva • dans
9992,2014-07-20,KaBuM! e-Sports,Keyd Stars,red,LEP • Danagorn • TinOwns • Minerva • dans,Mylon • Winged • SuNo • brTT • Loop
9991,2014-07-20,CNB e-Sports Club,paiN Gaming,red,Leko • Revolta • takeshi • manajj • Alocs,Lactea • SirT • Kami • owN • Olleh
9990,2014-07-20,paiN Gaming,CNB e-Sports Club,blue,Lactea • SirT • Kami • owN • Olleh,Leko • Revolta • takeshi • manajj • Alocs
