series,boxLink
1961-nba-western-division-finals-lakers-vs-hawks.html,196103220STL.html
1961-nba-western-division-finals-lakers-vs-hawks.html,196103240LAL.html
1961-nba-western-division-finals-lakers-vs-hawks.html,196103250LAL.html
1961-nba-western-division-finals-lakers-vs-hawks.html,196103270STL.html
1961-nba-western-division-finals-lakers-vs-hawks.html,196103290LAL.html
1961-nba-western-division-finals-lakers-vs-hawks.html,196104010STL.html
1961-nba-western-division-semifinals-pistons-vs-lakers.html,196103140LAL.html
1961-nba-western-division-semifinals-pistons-vs-lakers.html,196103150LAL.html
1961-nba-western-division-semifinals-pistons-vs-lakers.html,196103170DET.html
1961-nba-western-division-semifinals-pistons-vs-lakers.html,196103180DET.html
1961-nba-western-division-semifinals-pistons-vs-lakers.html,196103190LAL.html
1962-nba-eastern-division-finals-warriors-vs-celtics.html,196203240BOS.html
1962-nba-eastern-division-finals-warriors-vs-celtics.html,196203270PHW.html
1962-nba-eastern-division-finals-warriors-vs-celtics.html,196203280BOS.html
1962-nba-eastern-division-finals-warriors-vs-celtics.html,196203310PHW.html
1962-nba-eastern-division-finals-warriors-vs-celtics.html,196204010BOS.html
1962-nba-eastern-division-finals-warriors-vs-celtics.html,196204030PHW.html
1962-nba-eastern-division-finals-warriors-vs-celtics.html,196204050BOS.html
1962-nba-eastern-division-semifinals-nationals-vs-warriors.html,196203160PHW.html
1962-nba-eastern-division-semifinals-nationals-vs-warriors.html,196203180SYR.html
1962-nba-eastern-division-semifinals-nationals-vs-warriors.html,196203190PHW.html
1962-nba-eastern-division-semifinals-nationals-vs-warriors.html,196203200SYR.html
1962-nba-eastern-division-semifinals-nationals-vs-warriors.html,196203220PHW.html
1962-nba-finals-lakers-vs-celtics.html,196204070BOS.html
1962-nba-finals-lakers-vs-celtics.html,196204080BOS.html
1962-nba-finals-lakers-vs-celtics.html,196204100LAL.html
1962-nba-finals-lakers-vs-celtics.html,196204110LAL.html
1962-nba-finals-lakers-vs-celtics.html,196204140BOS.html
1962-nba-finals-lakers-vs-celtics.html,196204160LAL.html
1962-nba-finals-lakers-vs-celtics.html,196204180BOS.html
1962-nba-western-division-finals-pistons-vs-lakers.html,196203240LAL.html
1962-nba-western-division-finals-pistons-vs-lakers.html,196203250LAL.html
1962-nba-western-division-finals-pistons-vs-lakers.html,196203270DET.html
1962-nba-western-division-finals-pistons-vs-lakers.html,196203290DET.html
1962-nba-western-division-finals-pistons-vs-lakers.html,196203310LAL.html
